Comparison	gene	log2FC
IFNb_UP_DOWN	CDC20	-1.34618754741511
IFNb_UP_DOWN	RP4-612B15.2	-1.33192999265269
IFNb_UP_DOWN	IQGAP3	-1.27297864320866
IFNb_UP_DOWN	NUF2	-1.01859000998085
IFNb_UP_DOWN	FNDC4	-1.29319133257962
IFNb_UP_DOWN	PGAP1	-1.00261530386901
IFNb_UP_DOWN	HJURP	-1.09166714916904
IFNb_UP_DOWN	RPS24P8	-1.0498259812537
IFNb_UP_DOWN	TMEM158	-1.00048982436499
IFNb_UP_DOWN	IMPDH2	-1.05208585755025
IFNb_UP_DOWN	NT5DC2	-1.94500755383395
IFNb_UP_DOWN	CHST2	-1.11220928648457
IFNb_UP_DOWN	DANCR	-1.31485419856073
IFNb_UP_DOWN	RPL14P3	-1.16269122743926
IFNb_UP_DOWN	EEF1B2P2	-1.30125100299782
IFNb_UP_DOWN	CCNB1	-1.0667076861028
IFNb_UP_DOWN	CTD-2161E19.1	-1.05154914509492
IFNb_UP_DOWN	FAM172A	-1.29725470894448
IFNb_UP_DOWN	KIF20A	-1.15658206531959
IFNb_UP_DOWN	RP11-67P15.1	-1.00336383284924
IFNb_UP_DOWN	CENPW	-1.61240183690939
IFNb_UP_DOWN	MOXD1	-1.16339284343483
IFNb_UP_DOWN	RPS18P9	-1.02179826892631
IFNb_UP_DOWN	MTURN	-1.54683338347619
IFNb_UP_DOWN	RP11-165H4.2	-1.226167342335
IFNb_UP_DOWN	STEAP4	-1.52474885991522
IFNb_UP_DOWN	TMEM168	-1.12854137377534
IFNb_UP_DOWN	EEF1B2P6	-1.15478535831594
IFNb_UP_DOWN	IL3RA	-1.3272245362407
IFNb_UP_DOWN	GS1-358P8.4	-1.19872427633675
IFNb_UP_DOWN	KIF4A	-1.08892013673578
IFNb_UP_DOWN	SLC25A5	-1.05034720408412
IFNb_UP_DOWN	TNFRSF10D	-2.03995651954037
IFNb_UP_DOWN	RPL10AP2	-1.02839498741648
IFNb_UP_DOWN	MMP16	-1.17549135641491
IFNb_UP_DOWN	ACO1	-1.68241515923191
IFNb_UP_DOWN	RP11-571F15.3	-1.06914801886737
IFNb_UP_DOWN	H19	-1.10213819539282
IFNb_UP_DOWN	RP11-113D6.10	-1.24108997014507
IFNb_UP_DOWN	RP11-479G22.8	-1.68598438951639
IFNb_UP_DOWN	CEP55	-1.17570678121069
IFNb_UP_DOWN	ENTPD1	-1.05676471468184
IFNb_UP_DOWN	NANOS1	-1.74698783080938
IFNb_UP_DOWN	MKI67	-1.11140686658127
IFNb_UP_DOWN	RP11-253E3.1	-1.32903594122455
IFNb_UP_DOWN	CDCA3	-1.29150854656999
IFNb_UP_DOWN	RPL7P6	-1.53733220121354
IFNb_UP_DOWN	TSPAN11	-1.10394205031874
IFNb_UP_DOWN	CIT	-1.20663161681096
IFNb_UP_DOWN	RPLP0	-1.0724590418685
IFNb_UP_DOWN	RPL34P27	-1.09301310215761
IFNb_UP_DOWN	ENOX1	-1.16035228970493
IFNb_UP_DOWN	NALCN	-1.17081598714711
IFNb_UP_DOWN	RPL13AP2	-1.07830053836716
IFNb_UP_DOWN	CDKN3	-1.26711510998589
IFNb_UP_DOWN	DLGAP5	-1.2109535511541
IFNb_UP_DOWN	RP11-999E24.3	-3.04216395699936
IFNb_UP_DOWN	C14orf37	-1.20588300518036
IFNb_UP_DOWN	RPL7AP6	-1.19324705842726
IFNb_UP_DOWN	PWAR6	-1.28684167460743
IFNb_UP_DOWN	CCNB2	-1.22526716365115
IFNb_UP_DOWN	ST20-AS1	-1.34444624837822
IFNb_UP_DOWN	PRC1	-1.14186738024336
IFNb_UP_DOWN	GCSH	-1.05673454417375
IFNb_UP_DOWN	RFLNB	-1.62287488933295
IFNb_UP_DOWN	FAM64A	-1.4562460056966
IFNb_UP_DOWN	SPAG5	-1.36109998715185
IFNb_UP_DOWN	RPL23	-1.09456790046664
IFNb_UP_DOWN	TOP2A	-1.0650406703883
IFNb_UP_DOWN	PRR11	-1.65123212420296
IFNb_UP_DOWN	B4GALT6	-1.07897322832451
IFNb_UP_DOWN	RP11-563H6.1	-1.00696856979442
IFNb_UP_DOWN	FAM83D	-1.36732410935632
IFNb_UP_DOWN	MYBL2	-1.42867769657804
IFNb_UP_DOWN	RPS27AP19	-1.52605067130547
IFNb_UP_DOWN	PRDX2	-1.03186909025664
IFNb_UP_DOWN	CTC-429P9.3	-1.65685454772597
IFNb_UP_DOWN	PEG3	-1.03401712441589
IFNb_UP_DOWN	GTSE1	-1.23057172257069
IFNb_UP_DOWN	CERK	-1.24195053147544
IFNb_UP_DOWN	AP001172.2	-1.26103845904254
IFNb_UP_DOWN	SH3BGR	-1.3498074923301
IFNb_UP_DOWN	MTND1P23	1.29192341781974
IFNb_UP_DOWN	PLEKHN1	1.79344298532099
IFNb_UP_DOWN	ISG15	6.97209739808468
IFNb_UP_DOWN	TNFRSF14	1.09522469123062
IFNb_UP_DOWN	SLC2A5	1.00664429540312
IFNb_UP_DOWN	IFI6	6.49346800678176
IFNb_UP_DOWN	THEMIS2	3.90909465325277
IFNb_UP_DOWN	RNF19B	1.14811536075146
IFNb_UP_DOWN	IFI44L	6.64474309506787
IFNb_UP_DOWN	IFI44	4.37114311892649
IFNb_UP_DOWN	GBP3	1.52339122262459
IFNb_UP_DOWN	GBP1	2.84857496604081
IFNb_UP_DOWN	GBP2	1.42520294628004
IFNb_UP_DOWN	GBP4	2.2934633751013
IFNb_UP_DOWN	GBP5	3.05584718901988
IFNb_UP_DOWN	GBP1P1	5.84385854532004
IFNb_UP_DOWN	SLC16A4	1.60106241567562
IFNb_UP_DOWN	MOV10	1.68157922674629
IFNb_UP_DOWN	HIST2H2BE	2.1845897415421
IFNb_UP_DOWN	CTSS	3.44042335419352
IFNb_UP_DOWN	ADAR	1.64563552038999
IFNb_UP_DOWN	IFI16	1.54085965698427
IFNb_UP_DOWN	AIM2	3.6058464081013
IFNb_UP_DOWN	ANGPTL1	2.97935280742171
IFNb_UP_DOWN	CFH	1.82170538859618
IFNb_UP_DOWN	HSD11B1	1.30007239177266
IFNb_UP_DOWN	HIST3H2A	1.03828043206706
IFNb_UP_DOWN	CMPK2	8.40429245424465
IFNb_UP_DOWN	RSAD2	8.03552132570711
IFNb_UP_DOWN	EIF2AK2	2.15200892541348
IFNb_UP_DOWN	PNPT1	2.05144247716163
IFNb_UP_DOWN	CYP26B1	1.15194038996974
IFNb_UP_DOWN	RNU4ATAC	1.37959729381984
